account_name,month,tons,net_sales,avg6m_tons,avg6m_sales,gap_days,median_gap,alert_tier,growth_tier,tier_label,buyer_type
UNIVERSAL FABRICATING USA,2024-09-01,6.6,8213.0,16.849999999999998,21596.5,31.0,31.0,Black,,Black,regular
INNOVATIVE MACHINE & LASER LLC,2023-07-01,6.5,10618.0,14.3,28178.0,30.0,31.0,Black,,Black,regular
TEXAS HYDRAULICS INC,2024-08-01,6.4,23309.0,14.41666666666667,51579.5,31.0,31.0,Black,,Black,regular
M & M PRECISION METAL FAB,2024-01-01,6.3999999999999995,9316.0,27.883333333333336,38380.666666666664,31.0,31.0,Black,,Black,regular
MOFFITT WEST LLC,2024-09-01,6.3,28852.0,21.26666666666667,96726.83333333333,31.0,31.0,Black,,Black,regular
"HAMAR INDUSTRIES, INC",2023-10-01,6.3,14729.0,14.280000000000001,33626.6,30.0,31.0,Black,,Black,regular
UNIFIED SUPPLY AND SERVICES CO,2024-10-01,6.3,10532.0,13.316666666666665,20531.166666666668,30.0,31.0,Black,,Black,regular
WICHITA TANK MFG INC,2024-11-01,6.2,22802.0,24.4,62312.4,31.0,31.0,Black,,Black,regular
C & T CUSTOM STAINLESS,2023-12-01,6.2,18426.0,14.833333333333336,51798.166666666664,30.0,31.0,Black,,Black,regular
ADVANTAGE ENVIROMENTAL LIGHTIN,2024-04-01,6.2,8343.0,10.333333333333334,20360.666666666668,31.0,31.0,Black,,Black,regular
"DELCO TRAILERS, LTD",2024-09-01,6.2,5414.0,10.459999999999999,13814.2,92.0,31.0,Black,,Black,regular
HERNCO FABRICATION & SERVICES,2023-11-01,6.1000000000000005,21435.0,23.5,71435.5,31.0,31.0,Black,,Black,regular
FOREST RIVER INC,2024-10-01,6.1,33076.0,19.533333333333335,100998.16666666667,30.0,31.0,Black,,Black,regular
ALECOM METAL WORKS INC,2025-06-01,6.1,21377.0,15.566666666666665,44997.0,31.0,31.0,Black,,Black,regular
SM FAB INC,2024-01-01,6.1,17770.0,19.4,35179.0,31.0,31.0,Black,,Black,regular
GO INDUSTRIES,2024-08-01,6.1,10312.0,20.566666666666666,24172.166666666668,31.0,31.0,Black,,Black,regular
MULTI-METAL INC,2025-05-01,6.1,7682.0,7.349999999999999,19946.666666666668,30.0,31.0,Black,,Black,regular
GENERAL STEEL WAREHOUSE,2024-03-01,6.0,27788.0,12.799999999999997,57073.166666666664,29.0,31.0,Black,,Black,regular
DAVIS METAL STAMPING INC,2024-10-01,6.0,11473.0,17.78333333333333,21581.0,30.0,31.0,Black,,Black,regular
"Crystal Distribution, Inc.",2024-07-01,5.9,9929.0,12.700000000000001,17333.833333333332,30.0,31.0,Black,,Black,regular
BAKER TANKHEAD INC,2024-04-01,5.9,5722.0,5.566666666666666,18082.833333333332,31.0,31.0,Black,,Black,regular
HYPER-HEAD,2023-09-01,5.8999999999999995,7556.0,13.375,15523.0,31.0,31.0,Black,,Black,regular
WICHITA TANK MFG INC,2025-06-01,5.8,22218.0,18.183333333333334,67246.83333333333,31.0,31.0,Black,,Black,regular
HUMANETICS INC,2023-12-01,5.7,30550.0,11.633333333333333,38374.666666666664,30.0,31.0,Black,,Black,regular
EDGE FABRICATION,2023-08-01,5.7,23678.0,18.266666666666666,37527.333333333336,31.0,31.0,Black,,Black,regular
C & T CUSTOM STAINLESS,2024-11-01,5.7,14577.0,17.25,53055.0,31.0,31.0,Black,,Black,regular
STEEL AND PIPE SUPPLY CO. INC dba METALS 2 GO,2025-05-01,5.7,7040.0,4.800000000000001,20937.5,30.0,31.0,Black,,Black,regular
C & T CUSTOM STAINLESS,2025-01-01,5.699999999999999,26652.0,18.083333333333332,55720.0,31.0,31.0,Black,,Black,regular
JS JONES GROUP LLC,2024-05-01,5.699999999999999,8644.0,17.78333333333333,32452.5,30.0,31.0,Black,,Black,regular
GST MANUFACTURING LTD,2023-10-01,5.6000000000000005,22095.0,15.319999999999999,66158.0,30.0,31.0,Black,,Black,regular
GST MANUFACTURING LTD,2025-05-01,5.6000000000000005,20522.0,35.949999999999996,63577.333333333336,30.0,31.0,Black,,Black,regular
